ID,name,slug,description
Q130417813,Adil Okay,adil-okay,Adil Okay (<a href='https://www.wikidata.org/wiki/Q130417813'>Q130417813</a>) was born on 01/01/1957 in Antakya.
Q94383084,Atilla Keskin,atilla-keskin,Atilla Keskin (<a href='https://www.wikidata.org/wiki/Q94383084'>Q94383084</a>) was born on 01/01/1945.
Q105946883,Atillâ Sarp,atilla-sarp,Atillâ Sarp (<a href='https://www.wikidata.org/wiki/Q105946883'>Q105946883</a>) was born on 01/01/1946.
Q125807750,Aydin Emeç,aydin-emec,Aydin Emeç (<a href='https://www.wikidata.org/wiki/Q125807750'>Q125807750</a>) was born on 01/01/1939 in Istanbul and died on 01/01/1986.
Q3675375,Cengiz Çandar,cengiz-candar,Cengiz Çandar (<a href='https://www.wikidata.org/wiki/Q3675375'>Q3675375</a>) was born on 01/01/1948 in Ankara. He studied at Ankara University Faculty of Political Science.
Q15429804,Doğan Özgüden,dogan-ozguden,Doğan Özgüden (<a href='https://www.wikidata.org/wiki/Q15429804'>Q15429804</a>) was born on 01/01/1936 in Kalecik.
Q130497565,Ercan Enç,ercan-enc,Ercan Enç (<a href='https://www.wikidata.org/wiki/Q130497565'>Q130497565</a>). He studied at Middle East Technical University.
Q1362522,Ertuğrul Kürkcü,ertugrul-kurkcu,Ertuğrul Kürkcü (<a href='https://www.wikidata.org/wiki/Q1362522'>Q1362522</a>) was born on 05/05/1948 in Bursa. He studied at METU Faculty of Architecture.
Q199873,Faik Bulut,faik-bulut,Faik Bulut (<a href='https://www.wikidata.org/wiki/Q199873'>Q199873</a>) was born on 01/01/1950 in Kars.
Q6055523,Fethi Naci,fethi-naci,Fethi Naci (<a href='https://www.wikidata.org/wiki/Q6055523'>Q6055523</a>) was born on 03/04/1927 in Giresun and died on 23/07/2008 in Istanbul. He studied at Istanbul University Faculty of Economics.
Q3123838,Gérard Chaliand,gérard-chaliand,Gérard Chaliand (<a href='https://www.wikidata.org/wiki/Q3123838'>Q3123838</a>) was born on 15/02/1934 in Etterbeek. He studied at Paris Descartes University.
Q6087763,Gün Zileli,gun-zileli,Gün Zileli (<a href='https://www.wikidata.org/wiki/Q6087763'>Q6087763</a>) was born on 01/01/1946 in Ankara.
Q130443239,Hasan Mantıcı,hasan-mantıcı,Hasan Mantıcı (<a href='https://www.wikidata.org/wiki/Q130443239'>Q130443239</a>) was born in Tekirdağ and died on 22/06/2014 in Bursa.
Q2376131,Hüseyin İnan,huseyin-inan,Hüseyin İnan (<a href='https://www.wikidata.org/wiki/Q2376131'>Q2376131</a>) was born on 01/01/1949 in Bozhüyük and died on 06/04/1972 in Ankara by capital punishment. He studied at Middle East Technical University.
Q17430850,Kadir Manga,kadir-manga,Kadir Manga (<a href='https://www.wikidata.org/wiki/Q17430850'>Q17430850</a>) was born on 01/01/1947 in Konya and died on 31/05/1971 in Nurhak. He studied at Atatürk University.
Q735569,Mehmed Emîn Bozarslan,mehmed-emîn-bozarslan,Mehmed Emîn Bozarslan (<a href='https://www.wikidata.org/wiki/Q735569'>Q735569</a>) was born on 15/09/1934 in Diyarbakır.
Q3259971,Mehmet Ali Birand,mehmet-ali-birand,Mehmet Ali Birand (<a href='https://www.wikidata.org/wiki/Q3259971'>Q3259971</a>) was born on 09/12/1941 in Beyoğlu and died on 17/01/2013 in Şişli.
Q108386781,Melek Ulagay,melek-ulagay,Melek Ulagay (<a href='https://www.wikidata.org/wiki/Q108386781'>Q108386781</a>) was born on 01/01/1946 in Istanbul. She studied at Istanbul University Faculty of Letters.
Q3277055,Metin Toker,metin-toker,Metin Toker (<a href='https://www.wikidata.org/wiki/Q3277055'>Q3277055</a>) was born on 01/01/1924 in Istanbul and died on 18/07/2002 in Ankara. He studied at Istanbul University.
Q130487220,Minu İnkaya,minu-inkaya,Minu İnkaya (<a href='https://www.wikidata.org/wiki/Q130487220'>Q130487220</a>). She studied at .
Q259190,Nayef Hawatmeh,nayef-hawatmeh,Nayef Hawatmeh (<a href='https://www.wikidata.org/wiki/Q259190'>Q259190</a>) was born on 17/11/1935 in Salt.
Q446790,Oya Baydar,oya-baydar,Oya Baydar (<a href='https://www.wikidata.org/wiki/Q446790'>Q446790</a>) was born on 03/07/1940 in Istanbul. She studied at Istanbul University Faculty of Letters.
Q715127,Paul Sweezy,paul-sweezy,"Paul Sweezy (<a href='https://www.wikidata.org/wiki/Q715127'>Q715127</a>) was born on 10/04/1910 in New York City and died on 27/02/2004 in New York City. He studied at London School of Economics and Political Science, Harvard University."
Q6089841,Sabri Sayari,sabri-sayari,Sabri Sayari (<a href='https://www.wikidata.org/wiki/Q6089841'>Q6089841</a>).
Q130508133,Tuncer Sümer,tuncer-sumer,Tuncer Sümer (<a href='https://www.wikidata.org/wiki/Q130508133'>Q130508133</a>) was born on 21/03/1943 in Besni. He studied at Ankara University.
Q2029380,Yusuf Aslan,yusuf-aslan,Yusuf Aslan (<a href='https://www.wikidata.org/wiki/Q2029380'>Q2029380</a>) was born on 01/01/1947 in Yozgat and died on 06/05/1972 in Altındağ by capital punishment. He studied at Middle East Technical University.
Q3591337,Éric Rouleau,éric-rouleau,Éric Rouleau (<a href='https://www.wikidata.org/wiki/Q3591337'>Q3591337</a>) was born on 01/07/1926 in Cairo and died on 25/02/2015 in Saint-Quentin-la-Poterie.
Q130443344,Ömer Özerturgut,omer-ozerturgut,Ömer Özerturgut (<a href='https://www.wikidata.org/wiki/Q130443344'>Q130443344</a>) was born on 01/01/1944 in Turgutlu and died on 01/01/2016 in Köln. He studied at Ankara University Faculty of Science.
Q106351517,Şaban Erik,şaban-erik,Şaban Erik (<a href='https://www.wikidata.org/wiki/Q106351517'>Q106351517</a>) was born on 01/01/1926 and died on 28/09/2021.
