ID,name,slug,description
Q107739740,Ant,ant,Ant (<a href='https://www.wikidata.org/wiki/Q107739740'>Q107739740</a>) was a periodical headquartered in Istanbul and published by Doğan Özgüden. It was active from 01-01-1967 to 01-01-1971.
Q130453838,Artı Gerçek,artı-gerçek,Artı Gerçek (<a href='https://www.wikidata.org/wiki/Q130453838'>Q130453838</a>) is a website headquartered in Çankaya.
Q106315308,Aydınlık Sosyalist Dergi,aydınlık-sosyalist-dergi,"Aydınlık Sosyalist Dergi (<a href='https://www.wikidata.org/wiki/Q106315308'>Q106315308</a>) was a periodical headquartered in Ankara and published by Ömer Özerturgut, Münir Aktolga, Vahap Erdoğdu, Cengiz Çandar, Gün Zileli, Atıl Ant. It was active from 01-11-1968 to 01-03-1971."
Q4902531,Bianet,bianet,Bianet (<a href='https://www.wikidata.org/wiki/Q4902531'>Q4902531</a>) is a news agency headquartered in Istanbul.
Q1143794,Cumhuriyet,cumhuriyet,Cumhuriyet (<a href='https://www.wikidata.org/wiki/Q1143794'>Q1143794</a>) is a daily newspaper headquartered in Istanbul.
Q85970671,Gazete Duvar,gazete-duvar,Gazete Duvar (<a href='https://www.wikidata.org/wiki/Q85970671'>Q85970671</a>) is a website headquartered in Istanbul.
Q130453869,Halkın Sesi,halkın-sesi,Halkın Sesi (<a href='https://www.wikidata.org/wiki/Q130453869'>Q130453869</a>) was a weekly newspaper headquartered in Istanbul. It was active from 15-04-1975 to 07-03-1978.
Q6119666,Jacobin,jacobin,Jacobin (<a href='https://www.wikidata.org/wiki/Q6119666'>Q6119666</a>) is a magazine headquartered in New York City.
Q1709867,Journal of Palestine Studies,journal-of-palestine-studies,Journal of Palestine Studies (<a href='https://www.wikidata.org/wiki/Q1709867'>Q1709867</a>) is an academic journal.
Q96330908,Kurdish Studies,kurdish-studies,Kurdish Studies (<a href='https://www.wikidata.org/wiki/Q96330908'>Q96330908</a>) is a scientific journal.
Q15766939,Middle Eastern Studies,middle-eastern-studies,Middle Eastern Studies (<a href='https://www.wikidata.org/wiki/Q15766939'>Q15766939</a>) is a scientific journal.
Q568226,Milliyet,milliyet,Milliyet (<a href='https://www.wikidata.org/wiki/Q568226'>Q568226</a>) is a newspaper headquartered in Bağcılar and published by Demirören Group.
Q6045659,Proleter Devrimci Aydınlık,proleter-devrimci-aydınlık,Proleter Devrimci Aydınlık (<a href='https://www.wikidata.org/wiki/Q6045659'>Q6045659</a>) was a magazine headquartered in Ankara. It was active from 05-01-1970 to 01-03-1971.
Q48970687,Sendika.org,sendika-org,Sendika.org (<a href='https://www.wikidata.org/wiki/Q48970687'>Q48970687</a>) is a website.
Q15760136,Terrorism and Political Violence,terrorism-and-political-violence,Terrorism and Political Violence (<a href='https://www.wikidata.org/wiki/Q15760136'>Q15760136</a>) is an academic journal.
Q53952906,The Journal of the Middle East and Africa,the-journal-of-the-middle-east-and-africa,The Journal of the Middle East and Africa (<a href='https://www.wikidata.org/wiki/Q53952906'>Q53952906</a>) is a scientific journal.
Q106315102,Türk Solu,türk-solu,Türk Solu (<a href='https://www.wikidata.org/wiki/Q106315102'>Q106315102</a>) was a magazine headquartered in Ankara and published by Şerif Tekben. It was active from 17-11-1967 to 14-04-1970.
Q130456540,İleri,i̇leri,"İleri (<a href='https://www.wikidata.org/wiki/Q130456540'>Q130456540</a>) was a periodical headquartered in Ankara and published by Atillâ Sarp, Ertuğrul Kürkcü. It was active from 01-01-1970 to 01-01-1971."
